city,fire_risk,frp,latitude,longitude,radius_of_risk,start_data,status,geom,id_foco_bdq
IJACI,0.73,2.9,-21.23891,-44.9553,3000,2026-04-19 16:35:00+00:00,ACTIVE,POINT(-44.9553 -21.23891),1814760165
ARAPONGA,0.35,10.5,-20.62814,-42.48535,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-42.48535 -20.62814),1815156886
ARAPONGA,0.35,10.5,-20.62814,-42.48536,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-42.48536 -20.62814),1815156887
ARAPONGA,0.08,12.5,-20.62415,-42.49294,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-42.49294 -20.62415),1815156854
PONTE NOVA,0.68,9.0,-20.38878,-42.81804,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-42.81804 -20.38878),1815156862
SÃO ROQUE DE MINAS,0.26,5.5,-20.20018,-46.73407,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-46.73407 -20.20018),1815156846
DELFINÓPOLIS,0.24,6.7,-20.23705,-46.8047,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-46.8047 -20.23705),1815156896
SÃO ROQUE DE MINAS,0.26,5.5,-20.20019,-46.73405,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-46.73405 -20.20019),1815156849
ARAPONGA,0.04,12.2,-20.6307,-42.50055,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-42.50055 -20.6307),1815156882
ARAPONGA,0.08,12.5,-20.62415,-42.49295,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-42.49295 -20.62415),1815156838
SÃO ROQUE DE MINAS,0.27,5.9,-20.20149,-46.74341,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-46.74341 -20.20149),1815156815
PARACATU,1.0,5.1,-17.16431,-46.83574,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-46.83574 -17.16431),1815156890
ARAPONGA,0.04,12.2,-20.6307,-42.50056,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-42.50056 -20.6307),1815156821
DELFINÓPOLIS,0.28,9.1,-20.23575,-46.79538,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-46.79538 -20.23575),1815156866
DELFINÓPOLIS,0.29,9.1,-20.23575,-46.79536,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-46.79536 -20.23575),1815156817
DELFINÓPOLIS,0.24,6.7,-20.23705,-46.80469,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-46.80469 -20.23705),1815156804
PARACATU,1.0,5.1,-17.16431,-46.83575,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-46.83575 -17.16431),1815156879
PONTE NOVA,0.68,9.0,-20.38878,-42.81806,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-42.81806 -20.38878),1815156867
SÃO ROQUE DE MINAS,0.27,5.9,-20.20149,-46.74343,3000,2026-04-23 00:13:00+00:00,ACTIVE,POINT(-46.74343 -20.20149),1815156832
JAÍBA,1.0,9.3,-15.18627,-43.98326,3000,2026-04-23 00:16:00+00:00,ACTIVE,POINT(-43.98326 -15.18627),1815156828
JAÍBA,1.0,9.3,-15.18627,-43.98324,3000,2026-04-23 00:16:00+00:00,ACTIVE,POINT(-43.98324 -15.18627),1815156865
SETUBINHA,0.06,0.7,-17.48478,-42.21809,3000,2026-04-23 03:57:00+00:00,ACTIVE,POINT(-42.21809 -17.48478),1815201349
PONTO CHIQUE,0.64,1.5,-16.709,-44.95264,3000,2026-04-23 03:57:00+00:00,ACTIVE,POINT(-44.95264 -16.709),1815203311
NANUQUE,0.28,0.6,-17.88754,-40.35723,3000,2026-04-23 03:57:00+00:00,ACTIVE,POINT(-40.35723 -17.88754),1815202460
ITAMARANDIBA,0.1,0.8,-17.89981,-42.86148,3000,2026-04-23 03:57:00+00:00,ACTIVE,POINT(-42.86148 -17.89981),1815202704
PARACATU,1.0,2.4,-17.16873,-46.83477,3000,2026-04-23 03:57:00+00:00,ACTIVE,POINT(-46.83477 -17.16873),1815202487
BONITO DE MINAS,0.46,0.7,-14.90352,-45.17941,3000,2026-04-23 03:57:00+00:00,ACTIVE,POINT(-45.17941 -14.90352),1815203058
SETUBINHA,0.06,1.9,-17.48142,-42.21749,3000,2026-04-23 03:57:00+00:00,ACTIVE,POINT(-42.21749 -17.48142),1815203297
NINHEIRA,0.65,1.7,-15.36787,-41.68977,3000,2026-04-23 03:57:00+00:00,ACTIVE,POINT(-41.68977 -15.36787),1815203699
ÁGUA BOA,0.61,0.8,-18.02888,-42.3798,3000,2026-04-23 03:57:00+00:00,ACTIVE,POINT(-42.3798 -18.02888),1815203140
JOAÍMA,0.45,0.6,-16.64898,-41.14847,3000,2026-04-23 03:57:00+00:00,ACTIVE,POINT(-41.14847 -16.64898),1815202452
SÃO ROQUE DE MINAS,0.34,2.0,-20.24407,-46.78038,3000,2026-04-23 04:00:00+00:00,ACTIVE,POINT(-46.78038 -20.24407),1815201892
